Jogo ID;Home;Gols Home;Gols  Away;Away;odd Home;odd Draw;odd Away;Home Score HT;Away Score HT;Corner Home;Corner Away;Total Corner Match;;;;;;;;;;;;;;;;;;;;;;;;
116;Vitoria;;;Cruzeiro;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
117;Fortaleza;;;Santos;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
118;Gremio;;;Corinthians;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
119;A. Mineiro;;;Internacional;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
120;São Paulo;;;Vasco;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
121;Bahia;;;A. Mineiro;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
122;Corinthians;;;Bragantino;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
123;Cruzeiro;;;Gremio;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
124;Flamengo;;;São Paulo;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
125;Fortaleza;;;Ceara;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
126;Internacional;;;Vitoria;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
127;Juventude;;;Sport;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
128;Mirasol;;;Fluminense;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
129;Santos;;;Palmeiras;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
130;Vasco;;;Botafogo;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
131;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
132;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
133;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
134;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
135;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
136;;;;;;;;;;;;0;;;;;;;;;;;;;;;;;;;;;;;;
